date,search_impressions,product_page_views,downloads,cvr_percent,find_ai_rank,bluetooth_finder_rank,airpods_finder_rank,find_earbuds_rank,lost_device_rank,find_beats_rank,notes
2026-03-02,0,0,0,0,0,0,0,0,0,0,baseline
2026-03-03,,,,,,,,,,, 
2026-03-04,,,,,,,,,,, 
2026-03-05,,,,,,,,,,, 
2026-03-06,,,,,,,,,,, 
2026-03-07,,,,,,,,,,, 
2026-03-08,,,,,,,,,,, 
2026-03-09,,,,,,,,,,, 
2026-03-10,,,,,,,,,,, 
2026-03-11,,,,,,,,,,, 
2026-03-12,,,,,,,,,,, 
2026-03-13,,,,,,,,,,, 
2026-03-14,,,,,,,,,,, 
2026-03-15,,,,,,,,,,, 
2026-03-16,,,,,,,,,,, 
